time,ax,ay,az,atotal
0.000,-0.55,0.66,-0.88,1.23
0.010,-0.52,0.46,-0.54,0.88
0.020,-0.24,0.31,-0.05,0.40
0.030,0.06,0.10,0.45,0.46
0.040,0.17,-0.18,0.74,0.78
0.050,0.20,-0.28,1.08,1.13
0.060,0.36,-0.33,1.23,1.32
0.070,0.57,-0.55,1.00,1.28
0.081,0.67,-0.66,0.69,1.17
0.091,0.75,-0.43,0.43,0.96
0.101,0.66,-0.21,0.18,0.71
0.111,0.48,-0.08,-0.10,0.49
0.121,0.39,0.02,-0.44,0.59
0.131,0.41,0.03,-0.63,0.76
0.141,0.50,-0.02,-0.72,0.88
0.151,0.58,-0.12,-0.69,0.91
0.161,0.73,-0.16,-0.59,0.95
0.171,0.92,-0.26,-0.39,1.03
0.181,1.00,-0.45,-0.05,1.10
0.191,0.94,-0.65,0.45,1.23
0.201,0.92,-0.83,0.86,1.51
0.211,1.07,-1.13,1.06,1.89
0.221,1.28,-1.31,1.16,2.17
0.231,1.29,-1.46,1.15,2.26
0.242,1.02,-1.61,1.32,2.32
0.252,0.84,-1.61,1.47,2.33
0.262,0.90,-1.73,1.63,2.54
0.272,0.99,-1.76,1.71,2.65
0.282,1.01,-1.73,1.83,2.71
0.292,1.04,-1.72,2.15,2.94
0.302,1.23,-1.89,2.28,3.20
0.312,1.29,-2.12,2.22,3.33
0.322,1.36,-2.10,2.21,3.34
0.332,1.59,-1.93,2.08,3.25
0.342,1.10,-2.17,1.42,2.82
0.352,1.29,-2.00,0.89,2.54
0.362,1.39,-1.38,0.46,2.01
0.373,1.64,-1.22,0.25,2.06
0.383,1.91,-0.94,0.00,2.13
0.393,2.17,-0.94,-0.07,2.37
0.403,2.47,-0.91,0.29,2.65
0.413,2.58,-1.42,0.38,2.97
0.423,1.87,-1.65,0.33,2.51
0.433,1.41,-0.76,0.13,1.61
0.443,1.92,-0.57,-0.44,2.05
0.453,2.03,-1.08,-0.52,2.36
0.463,1.98,-1.15,-0.12,2.29
0.473,2.22,-1.19,0.10,2.52
0.483,2.52,-1.43,0.15,2.90
0.493,2.78,-1.47,0.08,3.15
0.503,1.98,-1.41,0.00,2.43
0.513,1.55,-1.59,0.34,2.24
0.524,1.42,-1.23,0.59,1.97
0.534,0.79,-0.97,0.53,1.36
0.544,0.46,-0.85,0.39,1.04
0.554,0.16,-0.75,0.55,0.95
0.564,-0.14,-0.59,0.82,1.02
0.574,-0.77,-0.18,0.81,1.13
0.584,-0.94,0.05,0.69,1.17
0.594,-0.99,0.28,0.35,1.09
0.604,-1.28,0.49,-0.30,1.40
0.614,-1.70,0.32,-1.19,2.10
0.624,-2.04,0.51,-1.72,2.72
0.634,-2.25,0.68,-1.79,2.96
0.644,-2.41,0.56,-1.78,3.05
0.654,-2.48,0.26,-1.61,2.97
0.665,-2.51,-0.03,-1.54,2.94
0.675,-2.40,-0.14,-1.68,2.94
0.685,-2.22,-0.22,-1.86,2.90
0.695,-2.05,-0.32,-1.72,2.70
0.705,-1.93,-0.42,-1.24,2.33
0.715,-1.60,-0.47,-0.63,1.78
0.725,-1.33,-0.47,-0.23,1.43
0.735,-1.28,-0.47,-0.25,1.39
0.745,-1.14,-0.59,-0.29,1.32
0.755,-0.74,-0.85,0.68,1.32
0.765,0.46,-1.46,3.77,4.07
0.775,-0.08,-1.38,1.21,1.83
0.785,-0.68,-1.51,-0.59,1.76
0.795,-0.43,-1.36,-0.45,1.50
0.805,-0.01,-0.77,-1.18,1.41
0.816,-0.01,-0.33,-1.54,1.57
0.826,-0.13,-0.49,-1.05,1.17
0.836,-0.49,-1.18,-0.72,1.46
0.846,-1.02,-1.38,-0.29,1.75
0.856,-1.12,-1.20,-0.21,1.66
0.866,-1.07,-0.96,-0.46,1.51
0.876,-0.88,-0.82,-0.66,1.37
0.886,-0.65,-0.71,-0.91,1.32
0.896,-0.29,-0.78,-0.86,1.20
0.906,-0.09,-0.71,-1.00,1.23
0.916,-0.07,-0.45,-1.43,1.51
0.926,-0.16,-0.19,-1.80,1.82
0.936,-0.58,-0.20,-2.09,2.18
0.946,-0.13,0.03,-2.27,2.27
0.956,1.48,-0.23,-0.64,1.63
0.967,0.34,-0.98,-0.27,1.07
0.977,0.49,-1.01,0.69,1.32
0.987,0.25,-0.73,0.48,0.91
0.997,-0.06,-0.92,0.35,0.99
1.007,-0.09,-1.12,0.40,1.19
1.017,-0.13,-0.74,-0.60,0.96
1.027,0.07,-0.25,-1.13,1.16
1.037,-0.88,-0.29,-0.59,1.10
1.047,-1.52,-0.17,0.57,1.63
1.057,-0.65,0.17,1.46,1.61
1.067,0.12,-0.11,2.03,2.04
1.077,0.13,-0.84,1.18,1.46
1.087,0.13,-1.04,0.22,1.07
1.097,0.30,-0.87,-0.16,0.94
1.107,0.79,-0.50,0.03,0.93
1.118,0.34,-0.22,0.08,0.41
1.128,-0.29,-0.03,-0.23,0.37
1.138,-0.49,0.03,-0.15,0.51
1.148,-0.44,0.12,-0.33,0.56
1.158,-0.02,0.30,-0.52,0.60
1.168,-0.23,0.05,-1.18,1.20
1.178,-0.35,-0.02,-1.52,1.56
1.188,0.26,0.47,-1.24,1.35
1.198,-1.15,0.66,0.50,1.42
1.208,-1.49,0.46,2.18,2.68
1.218,-1.02,0.40,0.64,1.27
1.228,-1.04,0.18,0.48,1.16
