time,ax,ay,az,atotal
0.000,-0.17,-0.08,-0.27,0.33
0.010,-0.07,-0.14,-0.02,0.15
0.020,-0.01,-0.12,0.20,0.23
0.030,-0.03,0.10,0.29,0.31
0.040,-0.20,0.35,0.31,0.51
0.050,-0.23,0.37,0.23,0.50
0.060,-0.12,0.31,0.03,0.33
0.070,-0.04,0.34,-0.14,0.37
0.080,0.05,0.45,-0.16,0.48
0.090,0.15,0.49,-0.28,0.58
0.101,0.14,0.47,-0.53,0.72
0.111,0.03,0.45,-0.68,0.82
0.121,-0.06,0.37,-0.71,0.81
0.131,-0.13,0.23,-0.67,0.72
0.141,-0.08,0.13,-0.51,0.53
0.151,-0.02,0.07,-0.27,0.28
0.161,0.02,0.08,-0.10,0.13
0.171,0.11,0.04,0.05,0.13
0.181,0.12,0.02,0.25,0.28
0.191,0.08,0.00,0.48,0.48
0.201,0.06,-0.09,0.57,0.58
0.211,0.13,-0.18,0.54,0.58
0.221,0.27,-0.16,0.44,0.54
0.231,0.38,-0.06,0.33,0.51
0.241,0.40,-0.01,0.17,0.43
0.252,0.31,-0.01,0.00,0.31
0.262,0.03,-0.02,-0.28,0.28
0.272,-0.34,-0.04,-0.49,0.60
0.282,-0.41,-0.10,-0.50,0.66
0.292,-0.32,-0.09,-0.31,0.46
0.302,-0.01,0.03,0.03,0.05
0.312,0.33,0.11,0.31,0.47
0.322,0.59,0.20,0.31,0.70
0.332,0.75,0.23,0.17,0.80
0.342,0.59,0.19,0.11,0.63
0.352,0.43,0.15,0.06,0.46
0.362,0.49,-0.11,-0.17,0.53
0.373,-0.26,-0.19,-0.16,0.36
0.383,-0.25,-0.11,0.09,0.29
0.393,0.06,-0.23,0.06,0.25
0.403,0.22,-0.25,0.16,0.37
0.413,0.32,-0.24,0.23,0.46
0.423,0.36,-0.28,0.11,0.47
0.433,0.34,-0.33,-0.03,0.47
0.443,0.19,-0.48,-0.18,0.54
0.453,0.33,-0.49,-0.04,0.59
0.463,1.02,-0.62,0.21,1.21
0.473,1.89,-0.24,-0.39,1.94
0.483,1.43,1.61,-0.24,2.16
0.493,0.99,1.31,-1.04,1.94
0.503,0.53,-0.66,-1.79,1.98
0.514,0.21,-1.84,-2.39,3.02
0.524,-0.09,-2.05,-2.69,3.38
0.534,-0.40,-1.94,-2.76,3.39
0.544,-0.58,-1.64,-2.63,3.15
0.554,-0.25,-1.30,-2.70,3.01
0.564,-0.59,-1.24,-3.31,3.58
0.574,-0.99,-1.45,-3.71,4.11
0.584,-0.46,-2.00,-3.80,4.32
0.594,0.09,-2.69,-3.68,4.56
0.604,0.27,-3.24,-3.69,4.92
0.614,0.32,-3.56,-3.86,5.26
0.624,-0.15,-3.97,-4.27,5.83
0.634,-1.11,-4.77,-4.88,6.92
0.644,-2.60,-5.77,-5.62,8.47
0.655,-3.69,-6.53,-6.08,9.66
0.665,-4.16,-6.99,-5.90,10.05
0.675,-4.36,-7.34,-5.20,9.99
0.685,-3.96,-7.48,-4.44,9.56
0.695,-3.46,-7.37,-4.04,9.09
0.705,-3.23,-7.20,-3.81,8.76
0.715,-3.62,-7.12,-3.32,8.65
0.725,-4.56,-7.40,-2.91,9.16
0.735,-5.76,-7.80,-2.98,10.14
0.745,-6.23,-8.04,-3.38,10.72
0.755,-5.33,-7.75,-3.72,10.12
0.765,-3.56,-7.07,-4.09,8.91
0.775,-2.09,-6.70,-3.74,7.96
0.785,-1.31,-6.55,-2.52,7.14
0.795,-1.16,-6.47,-1.32,6.70
0.806,-1.46,-6.56,-0.42,6.74
0.816,-1.57,-6.62,0.41,6.81
0.826,-1.32,-6.77,1.34,7.03
0.836,-0.56,-6.91,2.00,7.21
0.846,0.70,-6.68,2.27,7.09
0.856,2.43,-6.29,3.22,7.48
0.866,3.66,-6.14,4.52,8.46
0.876,4.92,-6.05,5.29,9.42
0.886,6.98,-5.55,5.90,10.69
0.896,9.72,-4.67,6.24,12.46
0.907,12.42,-3.45,5.79,14.13
0.916,14.38,-2.01,4.60,15.23
0.927,15.40,-1.30,3.08,15.76
0.937,15.25,-0.75,2.07,15.41
0.947,14.76,-0.12,1.59,14.84
0.957,14.89,0.63,1.02,14.94
0.967,15.39,1.63,-0.71,15.49
