time,ax,ay,az,atotal
0.000,0.34,0.21,0.02,0.40
0.010,0.46,0.39,-0.46,0.76
0.020,0.22,0.28,-0.76,0.83
0.030,-0.16,0.10,-0.66,0.69
0.040,-0.52,-0.07,-0.24,0.57
0.050,-0.85,-0.25,0.28,0.93
0.060,-0.79,-0.37,0.75,1.15
0.070,-0.37,-0.44,1.13,1.27
0.080,0.09,-0.46,1.37,1.45
0.091,0.33,-0.31,1.43,1.50
0.100,0.43,-0.14,1.26,1.34
0.111,0.44,-0.06,1.00,1.10
0.121,0.36,-0.01,0.84,0.91
0.131,0.19,0.06,0.77,0.80
0.141,0.26,0.12,0.59,0.66
0.151,0.40,-0.03,0.11,0.42
0.161,0.44,-0.11,-0.27,0.53
0.171,0.32,-0.03,-0.47,0.57
0.181,0.02,-0.08,-0.50,0.51
0.191,-0.39,-0.26,-0.40,0.61
0.201,-0.78,-0.36,-0.12,0.86
0.211,-1.03,-0.45,0.10,1.13
0.221,-0.98,-0.48,0.06,1.09
0.231,-0.79,-0.38,-0.09,0.88
0.242,-0.55,-0.13,-0.21,0.60
0.252,-0.39,0.10,-0.11,0.42
0.262,-0.25,0.05,0.18,0.31
0.272,-0.19,-0.15,0.60,0.65
0.282,-0.06,-0.35,0.86,0.93
0.292,0.04,-0.20,0.90,0.93
0.302,0.16,0.13,0.74,0.77
0.312,0.27,0.25,0.38,0.53
0.322,0.32,0.19,0.08,0.38
0.332,0.23,0.13,0.32,0.41
0.342,0.08,-0.06,0.77,0.78
0.352,-0.10,-0.36,0.95,1.02
0.362,-0.14,-0.43,1.03,1.13
0.372,0.00,-0.33,1.16,1.21
0.382,-0.32,-0.37,1.54,1.61
0.393,-1.39,0.03,2.27,2.66
0.403,-1.13,-0.30,2.09,2.39
0.413,-1.37,-1.09,1.93,2.60
0.423,-1.66,-1.47,2.15,3.09
0.433,-1.78,-1.78,2.31,3.42
0.443,-1.41,-1.57,2.38,3.18
0.453,-0.70,-1.43,2.19,2.71
0.463,-0.37,-1.40,2.17,2.61
0.473,-0.22,-1.31,2.23,2.59
0.483,-0.54,-1.16,2.48,2.79
0.493,-1.25,-0.62,2.91,3.23
0.503,-0.76,-0.62,3.01,3.17
0.513,0.16,-1.02,2.84,3.02
0.523,0.52,-1.15,2.75,3.02
0.533,0.46,-1.35,2.74,3.09
0.544,-0.35,-1.24,2.90,3.17
0.554,-1.02,-1.36,2.88,3.34
0.564,-1.25,-1.38,2.43,3.06
0.574,-0.96,-1.05,1.79,2.29
0.584,-0.41,-0.36,1.09,1.22
0.594,0.09,0.04,0.78,0.79
0.604,0.61,0.51,0.61,1.00
0.614,0.71,0.61,0.35,1.00
0.624,0.19,-0.06,0.33,0.39
0.634,-0.56,-0.57,0.76,1.10
0.644,-0.78,-0.86,1.05,1.56
0.654,-0.82,-0.40,1.32,1.60
0.664,-0.31,-0.38,1.38,1.47
