time,ax,ay,az,atotal
0.000,0.86,0.03,1.20,1.47
0.010,0.46,0.71,0.76,1.14
0.020,-0.13,0.89,0.19,0.92
0.030,-0.47,0.69,-0.42,0.93
0.040,-0.89,0.51,-0.44,1.12
0.050,-1.09,0.51,0.49,1.30
0.060,-0.94,0.47,1.71,2.01
0.070,-0.53,0.42,2.81,2.89
0.080,-0.08,0.60,3.21,3.27
0.091,0.23,0.68,2.89,2.98
0.101,0.25,0.26,2.27,2.30
0.111,0.19,-0.09,1.66,1.67
0.121,0.12,-0.00,0.98,0.99
0.131,-0.49,0.02,0.29,0.57
0.141,-0.92,-0.20,-0.09,0.95
0.151,-0.88,-0.14,-0.14,0.90
0.161,-0.27,-0.03,0.26,0.37
0.171,0.41,-0.08,0.21,0.47
0.181,0.79,-0.41,-0.21,0.91
0.191,0.98,-0.93,-0.26,1.38
0.201,1.62,-1.86,-0.33,2.49
0.211,2.01,-1.64,-0.57,2.66
0.221,1.49,-0.99,0.25,1.81
0.232,1.03,-0.67,0.93,1.54
0.242,1.01,-0.27,0.96,1.42
0.252,0.75,0.11,1.02,1.27
0.262,0.52,0.36,1.22,1.38
0.272,0.28,0.41,1.67,1.75
0.282,-0.83,0.45,2.15,2.35
0.292,-1.99,1.15,1.89,2.97
0.302,-0.44,0.92,1.15,1.54
0.312,1.56,-0.39,0.73,1.77
0.322,0.67,-0.30,0.52,0.89
0.332,0.02,-0.05,0.50,0.50
0.342,0.20,-0.54,0.52,0.77
0.352,0.03,-0.47,0.18,0.51
0.362,-0.27,-0.06,-0.28,0.39
0.373,-0.18,0.13,-0.81,0.85
0.383,-0.13,-0.15,-1.13,1.15
0.393,-0.63,-0.37,-0.75,1.05
0.403,-0.86,-0.53,0.38,1.08
0.413,-1.04,-0.54,1.18,1.66
0.423,-0.98,0.01,1.93,2.17
0.433,-0.18,0.21,2.75,2.76
0.443,-0.22,-0.01,0.54,0.58
0.453,-2.28,-0.97,1.48,2.89
0.463,-0.55,-0.06,1.84,1.92
0.473,0.10,0.81,0.86,1.18
0.483,-0.28,0.55,0.50,0.80
0.493,0.06,-0.10,0.33,0.35
0.503,-0.06,-0.36,0.27,0.45
0.513,-0.27,-0.24,0.22,0.42
0.524,-0.27,-0.35,0.42,0.61
0.534,-0.09,0.29,0.20,0.36
0.544,0.57,0.65,-0.49,1.00
0.554,0.51,0.17,-0.41,0.68
0.564,0.60,-0.09,-0.24,0.65
0.574,0.49,0.00,-0.01,0.49
0.584,0.26,-0.02,0.42,0.49
0.594,-0.10,-0.15,0.67,0.70
0.604,-0.20,-0.21,0.56,0.63
0.614,-0.27,-0.05,0.58,0.64
0.624,-0.38,0.35,0.42,0.67
0.634,0.35,0.43,0.00,0.55
0.644,0.09,-0.16,-0.47,0.50
0.654,-1.00,-0.98,-0.82,1.62
0.665,-1.22,-1.80,-0.82,2.32
0.675,-1.55,-2.45,-0.41,2.93
0.685,-2.63,-2.56,0.35,3.69
0.695,-2.41,-2.34,1.78,3.80
0.705,-2.54,-1.99,2.47,4.06
0.715,-1.79,-2.32,3.00,4.20
0.725,-2.41,-2.03,2.57,4.06
0.735,-2.34,-2.44,2.17,4.02
0.745,-2.72,-1.96,1.88,3.84
0.755,-1.87,-1.21,1.26,2.56
0.765,-0.64,-1.06,0.66,1.40
0.775,-0.88,-0.74,0.26,1.18
0.785,-1.57,-0.78,0.31,1.78
0.795,-2.14,-1.01,0.68,2.46
0.805,-2.45,-1.02,1.56,3.08
0.816,-2.44,-0.60,2.40,3.48
0.826,-0.86,-0.47,3.44,3.58
0.836,0.58,0.12,4.07,4.11
0.846,1.22,0.58,4.57,4.77
0.856,0.69,1.16,4.62,4.81
0.866,0.16,0.52,4.78,4.81
0.876,-0.59,0.15,4.67,4.70
0.886,-0.39,0.40,4.13,4.17
0.896,0.69,0.35,3.32,3.41
0.906,1.75,0.29,2.48,3.05
0.916,1.78,0.03,2.07,2.73
0.926,1.08,-0.38,2.20,2.48
0.936,0.71,-0.37,2.49,2.62
0.946,0.28,-0.24,2.81,2.84
0.957,0.63,0.05,3.55,3.61
0.967,1.12,0.28,4.48,4.63
