time,ax,ay,az,atotal
0.000,1.25,0.40,-0.47,1.39
0.010,1.28,0.14,-0.39,1.34
0.020,1.24,-0.08,-0.41,1.31
0.030,0.97,-0.14,-0.37,1.05
0.040,0.65,-0.03,-0.19,0.68
0.050,0.42,0.11,0.00,0.44
0.060,0.29,0.18,0.24,0.41
0.070,0.34,0.22,0.28,0.49
0.081,0.46,0.43,0.20,0.67
0.091,0.68,0.56,-0.05,0.89
0.101,0.74,0.61,-0.35,1.02
0.111,0.60,0.59,-0.55,1.00
0.121,0.57,0.42,-0.79,1.06
0.131,0.50,0.33,-0.95,1.12
0.141,0.49,0.35,-0.90,1.08
0.151,0.45,0.49,-0.54,0.86
0.161,0.51,0.61,0.09,0.80
0.171,0.53,0.57,0.50,0.92
0.181,0.21,0.40,0.58,0.74
0.191,-0.08,0.16,0.49,0.52
0.201,-0.39,0.09,0.66,0.77
0.212,-0.09,-0.17,0.69,0.71
0.222,0.52,-0.32,0.88,1.07
0.232,0.88,-0.22,1.10,1.43
0.242,0.91,-0.31,1.10,1.46
0.252,0.45,-0.87,0.85,1.29
0.262,0.32,-1.01,0.35,1.12
0.272,0.44,-0.65,0.03,0.78
0.282,0.44,-0.06,-0.45,0.63
0.292,0.37,0.43,-0.55,0.79
0.302,0.39,0.18,-0.38,0.58
0.312,0.69,-0.29,-0.23,0.78
0.322,1.10,-0.25,0.01,1.13
0.332,0.88,-0.12,0.65,1.10
0.342,0.73,-0.36,1.04,1.32
0.352,0.93,-0.56,1.27,1.67
0.362,1.10,-0.38,1.48,1.88
0.373,0.90,-0.26,1.45,1.73
0.383,0.83,-0.51,0.92,1.34
0.393,0.75,-0.65,0.38,1.07
0.403,0.58,-0.64,-0.07,0.87
0.413,0.50,-0.51,-0.51,0.88
0.423,0.39,-0.26,-0.82,0.94
0.433,0.53,0.04,-1.31,1.41
0.443,0.74,0.16,-1.53,1.71
0.453,0.66,0.02,-1.05,1.24
0.463,0.15,-0.13,-0.40,0.45
0.473,-0.44,-0.12,-0.01,0.46
0.483,-0.69,-0.27,-0.09,0.74
0.494,-0.32,-0.49,-0.72,0.92
0.503,0.04,-0.58,-1.52,1.62
0.514,0.29,-0.53,-2.11,2.19
0.524,0.67,-0.18,-2.23,2.33
0.534,0.81,0.04,-2.02,2.17
0.544,0.80,-0.22,-1.21,1.47
0.554,0.57,-0.94,-0.10,1.11
0.564,0.77,-1.66,-0.08,1.83
0.574,1.10,-2.06,-0.62,2.42
0.584,1.10,-2.17,-1.15,2.69
0.594,1.16,-2.27,-1.44,2.93
0.604,1.31,-2.44,-1.67,3.24
0.614,1.59,-2.47,-2.14,3.63
0.624,1.61,-2.29,-2.96,4.07
0.634,1.12,-2.10,-3.70,4.40
0.644,0.72,-2.02,-4.15,4.67
0.655,0.53,-2.01,-4.23,4.71
0.665,0.57,-1.93,-3.92,4.41
0.675,0.60,-1.85,-3.50,4.01
0.685,0.36,-2.16,-3.18,3.86
0.695,-0.26,-2.88,-2.98,4.15
0.705,-0.85,-3.46,-3.06,4.70
0.715,-1.21,-3.64,-3.42,5.14
